Col1	Col2	Col3	Col4	Col5	Col6	Col7	Col8	Col9	Col10
Geneset1	0.00131131924688816	0.00207752045476809	0.00620215548900887	4.06540418043733e-05	0.00144942417740822	0.00588575683068484	0.00743199103744701	0.0095614714268595	0.00460607721004635	0.0047504043742083
Geneset2	0.808815736122429	0.236414383464027	0.445671458981698	0.303645060812123	0.544349897866137	0.530554874727037	0.41885499102762	0.916316087406827	0.952768001388293	0.571391895896057
Geneset3	0.577816586213652	0.526837700258009	0.940729258085601	0.107243840832496	0.517228356679902	0.196124016309157	0.448202595374314	0.194130422356538	0.462636593806557	0.420881177357398
Geneset4	0.141646187111503	0.635768957567401	0.121001794136362	0.781114765593084	0.126211628375575	0.394733228760771	0.802580046725459	0.921616962704342	0.573915043172427	0.481420788775897
Geneset5	0.00422286607092246	0.00763499326072633	0.00849050911609084	0.00135304325027391	0.00436134797055274	0.00689300493104383	0.00851856493856758	0.00827825983986259	0.00230082308175042	0.00560853998409584
Geneset6	0.511290884241695	0.120468246364966	0.269020960379159	0.88895122408215	0.428798316873843	0.599748135697562	0.113426709967665	0.316030992276967	0.285064865496708	0.132648712793831
Geneset7	0.617359654037748	0.524404925426235	0.998194619921735	0.596589176338166	0.420797906447668	0.643621567243943	0.843011034655618	0.715268882461824	0.700836403324967	0.473805835255887
Geneset8	0.473577668287791	0.0722342874705791	0.903173224685015	0.474878805584274	0.253313464292558	0.158207636357984	0.949759912524139	0.851581244487315	0.679306684491457	0.171345008095261
Geneset9	0.162062289824942	0.986055571747711	0.974315103957197	0.290090731315548	0.429111762139481	0.276287009569583	0.607328738912242	0.74118692361773	0.795274113379652	0.22295090809674
Geneset10	0.00777743006125093	0.002269598885905	0.00119991685962304	0.00775385045446456	0.00133159736404195	0.000762227368541062	0.00656922776717693	0.00158327936893329	0.00117091646883637	0.00652535254135728
